group,run_id,case_id,year,pue,load_multiplier,reactor_scenario,bess_applied,carbon_price_usd_per_tco2,wacc_effective,crf_effective,smr_capex_usd_per_kWe,absorption_capex_usd_per_kWth,smr_capex_tag,absorption_capex_tag,tac_usd_per_yr,tac_case0_baseline_usd_per_yr,heat_recovery_premium,lcoe_usd_per_mwh_e,lcoc_usd_per_mwh_c,co2_annual_tonnes,co2_per_mwh_kg,epbt_years,water_total_l_per_mwh_e,water_direct_site_l_per_mwh_e,water_indirect_generation_l_per_mwh_e,water_scarcity_m3_world_eq_per_mwh_e,solve_seconds,it_energy_annual_MWh,cool_energy_annual_MWh,capex_annual_usd,fom_annual_usd,vom_annual_usd,carbon_annual_usd,grid_annual_usd,fuel_annual_usd,co2_direct_annual_tonnes,co2_lifecycle_annual_tonnes,ngcc_capacity_MWe,delivered_fuel_usd_per_mmbtu,co2_rx_lifecycle_tonnes,co2_grid_import_tonnes,co2_export_credit_tonnes,ptc_annual_usd,Q_abs_cool_annual_MWh,Q_to_abs_annual_MWh,P_grid_buy_annual_MWh,P_grid_sell_annual_MWh,co2_case0_baseline_tonnes
s4_capex,case1_ATB_Mid,1,2023,1.35,1.0,ATB_Mid,False,0.0,0.067,0.0922,,,,,113370159.47922154,75869050.00119022,-0.4942873210807703,136.64529731745245,,-343631.50826446357,-414.17979678372296,0.5583906813630124,6917.708903509777,111.11111111111113,6806.597792398666,4.4965107872813554,10.364,829667.48,921852.7555555556,152219433.19682938,33950000.0,8076562.064282004,-0.0,-59769471.507813305,21759300.0,,,,,26110.750925160002,24207.41317929641,393949.67236891994,-42865664.27407654,0.0,0.0,84814.94739490368,1178093.1534329941,362584.6742873656
s3_battery,case2_bess_off,2,2023,1.35,1.0,ATB_Mid,False,0.0,0.067,0.0922,,,,,122594195.72701055,75869050.00119022,-0.6158657018255445,147.76304806717332,,-359613.1867216097,-433.4425482382528,0.5727502841696037,6785.866475226896,146.2796068527759,6639.58686837412,4.4108132088974825,15.021,829667.48,921852.7555555556,162239956.27253884,37150000.0,7850473.656540276,-0.0,-64614568.50087627,21759300.0,,,,,25456.120063106853,24207.41317929641,409276.7199640129,-41790965.70119229,351544.0631009371,303069.84354304953,84814.94739490368,1220247.2747023685,362584.6742873656
s4_capex,case2_FOAK,2,2023,1.35,1.0,FOAK,False,0.0,0.067,0.0922,,,,,261111536.35328355,75869050.00119022,-2.441608091167443,314.7182969655308,,-359613.1867216097,-433.4425482382528,0.5727502841696037,6785.866475226896,146.2796068527759,6639.58686837412,4.4108132088974825,15.392,829667.48,921852.7555555556,300757296.8988118,37150000.0,7850473.656540276,-0.0,-64614568.50087627,21759300.0,,,,,25456.120063106853,24207.41317929641,409276.7199640129,-41790965.70119229,351544.0631009371,303069.84354304953,84814.94739490368,1220247.2747023685,362584.6742873656
s4_capex,case2_NOAK,2,2023,1.35,1.0,NOAK,False,0.0,0.067,0.0922,,,,,17704212.316995777,75869050.00119022,0.7666477658977141,21.33892522459212,,-359613.1867216097,-433.4425482382528,0.5727502841696037,6785.866475226896,146.2796068527759,6639.58686837412,4.4108132088974825,15.283,829667.48,921852.7555555556,57349972.86252407,37150000.0,7850473.656540276,-0.0,-64614568.50087627,21759300.0,,,,,25456.120063106853,24207.41317929641,409276.7199640129,-41790965.70119229,351544.0631009371,303069.84354304953,84814.94739490368,1220247.2747023685,362584.6742873656
s3_battery,case2_bess_on,2,2023,1.35,1.0,ATB_Mid,True,0.0,0.067,0.0922,,,,,123355973.89947352,75869050.00119022,-0.6259063992173137,148.68122093862655,,-359995.93292915163,-433.90387306629356,0.5727252505885999,6787.719079905326,146.2243484046832,6641.494731500643,4.412017401938462,16.179,829667.48,921852.7555555556,167830808.69995168,38475000.0,7901867.84166737,-0.0,-70818210.27533302,21759300.0,,,,,25457.232739460807,24187.46352491454,409640.629193527,-41792792.36681252,350991.7,302554.7156014069,85763.80337902167,1212884.6254210589,362584.6742873656
s4_capex,case2_ATB_Mid,2,2023,1.35,1.0,ATB_Mid,False,0.0,0.067,0.0922,,,,,122594195.72701055,75869050.00119022,-0.6158657018255445,147.76304806717332,,-359613.1867216097,-433.4425482382528,0.5727502841696037,6785.866475226896,146.2796068527759,6639.58686837412,4.4108132088974825,16.181,829667.48,921852.7555555556,162239956.27253884,37150000.0,7850473.656540276,-0.0,-64614568.50087627,21759300.0,,,,,25456.120063106853,24207.41317929641,409276.7199640129,-41790965.70119229,351544.0631009371,303069.84354304953,84814.94739490368,1220247.2747023685,362584.6742873656
s5_feasibility_2d,case2_smr_NOAK_abs_Mid_Low,2,2023,1.35,1.0,,False,0.0,0.067,0.0922,2250.0,600.0,NOAK,Mid_Low,15700107.701853894,75869050.00119022,0.7930630777424049,18.9233736169265,,-359613.1867216097,-433.4425482382528,0.5727502841696037,6785.866475226896,146.2796068527759,6639.58686837412,4.4108132088974825,14.781,829667.48,921852.7555555556,55345868.24738218,37150000.0,7850473.656540276,-0.0,-64614568.50087627,21759300.0,,,,,25456.120063106853,24207.41317929641,409276.7199640129,-41790965.70119229,351544.0631009371,303069.84354304953,84814.94739490368,1220247.2747023685,362584.6742873656
s5_feasibility_2d,case2_smr_NOAK_abs_Baseline,2,2023,1.35,1.0,,False,0.0,0.067,0.0922,2250.0,750.0,NOAK,Baseline,17704212.316995777,75869050.00119022,0.7666477658977141,21.33892522459212,,-359613.1867216097,-433.4425482382528,0.5727502841696037,6785.866475226896,146.2796068527759,6639.58686837412,4.4108132088974825,15.068,829667.48,921852.7555555556,57349972.86252407,37150000.0,7850473.656540276,-0.0,-64614568.50087627,21759300.0,,,,,25456.120063106853,24207.41317929641,409276.7199640129,-41790965.70119229,351544.0631009371,303069.84354304953,84814.94739490368,1220247.2747023685,362584.6742873656
s5_feasibility_2d,case2_smr_NOAK_abs_Bare_Low,2,2023,1.35,1.0,,False,0.0,0.067,0.0922,2250.0,450.0,NOAK,Bare_Low,13696003.086711995,75869050.00119022,0.819478389587096,16.507822009260863,,-359613.1867216097,-433.4425482382528,0.5727502841696037,6785.866475226896,146.2796068527759,6639.58686837412,4.4108132088974825,15.973,829667.48,921852.7555555556,53341763.63224028,37150000.0,7850473.656540276,-0.0,-64614568.50087627,21759300.0,,,,,25456.120063106853,24207.41317929641,409276.7199640129,-41790965.70119229,351544.0631009371,303069.84354304953,84814.94739490368,1220247.2747023685,362584.6742873656
s5_feasibility_2d,case2_smr_NOAK_abs_Mid_High,2,2023,1.35,1.0,,False,0.0,0.067,0.0922,2250.0,900.0,NOAK,Mid_High,19708316.932137676,75869050.00119022,0.740232454053023,23.754476832257758,,-359613.1867216097,-433.4425482382528,0.5727502841696037,6785.866475226896,146.2796068527759,6639.58686837412,4.4108132088974825,15.22,829667.48,921852.7555555556,59354077.47766597,37150000.0,7850473.656540276,-0.0,-64614568.50087627,21759300.0,,,,,25456.120063106853,24207.41317929641,409276.7199640129,-41790965.70119229,351544.0631009371,303069.84354304953,84814.94739490368,1220247.2747023685,362584.6742873656
s5_feasibility_2d,case2_smr_NOAK_abs_Turnkey_High,2,2023,1.35,1.0,,False,0.0,0.067,0.0922,2250.0,1200.0,NOAK,Turnkey_High,23716526.162421472,75869050.00119022,0.6874018303636409,28.585580047589033,,-359613.1867216097,-433.4425482382528,0.5727502841696037,6785.866475226896,146.2796068527759,6639.58686837412,4.4108132088974825,15.54,829667.48,921852.7555555556,63362286.70794976,37150000.0,7850473.656540276,-0.0,-64614568.50087627,21759300.0,,,,,25456.120063106853,24207.41317929641,409276.7199640129,-41790965.70119229,351544.0631009371,303069.84354304953,84814.94739490368,1220247.2747023685,362584.6742873656
s5_feasibility_2d,case2_smr_Low_Mid_abs_Mid_Low,2,2023,1.35,1.0,,False,0.0,0.067,0.0922,5000.0,600.0,Low_Mid,Mid_Low,69464777.66970861,75869050.00119022,0.08441218561957922,83.72604608982458,,-359613.1867216097,-433.4425482382528,0.5727502841696037,6785.866475226896,146.2796068527759,6639.58686837412,4.4108132088974825,14.927,829667.48,921852.7555555556,109110538.21523692,37150000.0,7850473.656540276,-0.0,-64614568.50087627,21759300.0,,,,,25456.120063106853,24207.41317929641,409276.7199640129,-41790965.70119229,351544.0631009371,303069.84354304953,84814.94739490368,1220247.2747023685,362584.6742873656
s5_feasibility_2d,case2_smr_Low_Mid_abs_Bare_Low,2,2023,1.35,1.0,,False,0.0,0.067,0.0922,5000.0,450.0,Low_Mid,Bare_Low,67460673.05456674,75869050.00119022,0.1108274974642699,81.31049448215897,,-359613.1867216097,-433.4425482382528,0.5727502841696037,6785.866475226896,146.2796068527759,6639.58686837412,4.4108132088974825,15.718,829667.48,921852.7555555556,107106433.60009502,37150000.0,7850473.656540276,-0.0,-64614568.50087627,21759300.0,,,,,25456.120063106853,24207.41317929641,409276.7199640129,-41790965.70119229,351544.0631009371,303069.84354304953,84814.94739490368,1220247.2747023685,362584.6742873656
